transaction,category
- BLR CROMA STORE*ORDER #,Shopping
TXN ID  NATURES BASKET,Groceries
HOTSTAR PLAN 1299.00 INR,Entertainment
- MUMBAI AIRTEL POSTPAID @OKICICI,Bills
450.00 ACT BROADBAND,Bills
#88324 SPENCERS RETAIL,Groceries
BSNL PAYMENT,Bills
TXN ID  DMART PAYMENT @OKICICI,Groceries
NATURES BASKET,Groceries
IRCTC TICKET 450.00,Travel
@OKICICI  SWIGGY PAYMENT *ONLINE,Dining
*ORDER # DOMINOS PIZZA,Dining
UBER RIDE - BLR,Travel
SHELL GAS STATION,Fuel
UPI@YBL HPCL PETROL PUMP,Fuel
UPI  INDIANOIL PUMP *ONLINE,Fuel
MAKEMYTRIP BOOKING TXN ID,Travel
MYNTRA ONLINE,Shopping
*ORDER # FRESHTOHOME *ONLINE,Groceries
@OKICICI  GOIBIBO HOTEL 1299.00 INR,Travel
#88324 BIGBASKET ORDER 450.00,Groceries
AMAZON PAY UPI,Shopping
*ONLINE MYNTRA ONLINE - MUMBAI,Shopping
ESSAR PETRO*ORDER #,Fuel
ACT BROADBAND TXN ID,Bills
@OKICICI  AIRTEL POSTPAID PAYMENT,Bills
IRCTC TICKET,Travel
UPI@YBL AIRTEL POSTPAID,Bills
@OKICICI  GAANA PREMIUM,Entertainment
FRESHTOHOME UPI@YBL,Groceries
99.00 Rs REDBUS PAYMENT*ORDER #,Travel
UPI  MYNTRA ONLINE 99.00 Rs,Shopping
UPI  JIOMART PURCHASE,Groceries
450.00 BPCL FUEL*ORDER #,Fuel
UPI@YBL SPENCERS RETAIL,Groceries
FLIPKART ORDER 450.00,Shopping
RELIANCE FUEL,Fuel
HOTSTAR PLAN,Entertainment
BESCOM ELECTRICITY *ONLINE,Bills
SPOTIFY PREMIUM REF,Entertainment
450.00 GAANA PREMIUM,Entertainment
CROMA STORE,Shopping
99.00 Rs SPOTIFY PREMIUM,Entertainment
BOOKMYSHOW MOVIE UPI,Entertainment
FLIPKART ORDER - MUMBAI,Shopping
PAYMENT DMART PAYMENT UPI,Groceries
NATURES BASKET - BLR,Groceries
AMAZON PAY,Shopping
*ONLINE IRCTC TICKET,Travel
HOTSTAR PLAN TXN ID,Entertainment
REDBUS PAYMENT - BLR,Travel
ZOMATO ORDER @OKICICI,Dining
ACT BROADBAND 1299.00 INR,Bills
99.00 Rs ZOMATO ORDER 1299.00 INR,Dining
- BLR JIOMART PURCHASE 99.00 Rs,Groceries
REF  BESCOM ELECTRICITY UPI,Bills
JIO RECHARGE 1299.00 INR,Bills
#88324 NYKAA PAYMENT PAYMENT,Shopping
OLA TRIP*ORDER #,Travel
*ORDER # GOIBIBO HOTEL,Travel
NYKAA PAYMENT,Shopping
*ORDER # HPCL PETROL PUMP @OKICICI,Fuel
REF  MAKEMYTRIP BOOKING - MUMBAI,Travel
PAYMENT MCDONALDS BILL,Dining
TXN ID  SPOTIFY PREMIUM*ORDER #,Entertainment
RELIANCE FUEL#88324,Fuel
@OKICICI  AMAZON PRIME VIDEO REF,Entertainment
450.00 FRESHTOHOME,Groceries
UPI@YBL FRESHTOHOME PAYMENT,Groceries
- MUMBAI RELIANCE FUEL,Fuel
BESCOM ELECTRICITY - BLR,Bills
BIGBASKET ORDER 1299.00 INR,Groceries
*ONLINE AJIO PURCHASE,Shopping
GAANA PREMIUM,Entertainment
ACT BROADBAND,Bills
@OKICICI  DOMINOS PIZZA *ONLINE,Dining
UPI@YBL SPOTIFY PREMIUM UPI,Entertainment
- MUMBAI BOOKMYSHOW MOVIE#88324,Entertainment
- BLR BIGBASKET ORDER,Groceries
ZOMATO ORDER REF,Dining
UPI  SPENCERS RETAIL,Groceries
FRESHTOHOME 450.00,Groceries
AJIO PURCHASE - MUMBAI,Shopping
HPCL PETROL PUMP *ONLINE,Fuel
AMAZON PAY 450.00,Shopping
BESCOM ELECTRICITY 99.00 Rs,Bills
@OKICICI  HPCL PETROL PUMP UPI,Fuel
BESCOM ELECTRICITY @OKICICI,Bills
@OKICICI  BESCOM ELECTRICITY#88324,Bills
AMAZON PAY REF,Shopping
- MUMBAI SPOTIFY PREMIUM,Entertainment
UPI  GOIBIBO HOTEL UPI,Travel
