transaction,category
BANK MONTHLY MAINTENANCE FEE,Bills
APPLE.COM/BILL 3322,Bills
*ORDER # ACT BROADBAND,Bills
BESCOM ELECTRICITY#88324,Bills
TATA PLAY DTH,Bills
PAYMENT JIO RECHARGE TXN ID,Bills
ACT BROADBAND,Bills
99.00 Rs JIO RECHARGE 1299.00 INR,Bills
BESCOM ELECTRICITY @OKICICI,Bills
ACT BROADBAND,Bills
BSNL PAYMENT UPI,Bills
AIRTEL POSTPAID UPI@YBL,Bills
99.00 Rs AIRTEL POSTPAID PAYMENT,Bills
BSNL PAYMENT 450.00,Bills
EB Bill Payment - BESCOM A/C 9876543210,Bills
House Tax Payment,Bills
Phone Bill Jio,Bills
Internet Service Charge,Bills
Electricity Bill Due,Bills
- MUMBAI AIRTEL POSTPAID @OKICICI,Bills
450.00 ACT BROADBAND,Bills
BSNL PAYMENT,Bills
ACT BROADBAND TXN ID,Bills
@OKICICI  AIRTEL POSTPAID PAYMENT,Bills
UPI@YBL AIRTEL POSTPAID,Bills
BESCOM ELECTRICITY *ONLINE,Bills
ACT BROADBAND 1299.00 INR,Bills
REF  BESCOM ELECTRICITY UPI,Bills
JIO RECHARGE 1299.00 INR,Bills
BESCOM ELECTRICITY - BLR,Bills
ACT BROADBAND,Bills
BESCOM ELECTRICITY 99.00 Rs,Bills
BESCOM ELECTRICITY @OKICICI,Bills
@OKICICI  BESCOM ELECTRICITY#88324,Bills
PAYMENT BSNL PAYMENT UPI,Bills
ACT BROADBAND,Bills
PAYMENT AIRTEL POSTPAID,Bills
UPI  AIRTEL POSTPAID*ORDER #,Bills
PAYMENT TATA PLAY DTH @OKICICI,Bills
JIO RECHARGE,Bills
- MUMBAI ACT BROADBAND 450.00,Bills
1299.00 INR BSNL PAYMENT - BLR,Bills
- MUMBAI AIRTEL POSTPAID REF,Bills
AIRTEL POSTPAID*ORDER #,Bills
- MUMBAI JIO RECHARGE,Bills
TATA PLAY DTH,Bills
*ONLINE BSNL PAYMENT UPI,Bills
AIRTEL POSTPAID - BLR,Bills
BSNL PAYMENT,Bills
EB Bill Payment - BESCOM A/C 9876543210,Bills
MobiKwik payment for TATA SKY DTH,Bills
EMI DEBIT HDFC Loan Acc #L4593845,Bills
BSNL Landline Bill Payment,Bills
Vodafone Postpaid Bill - Oct 2025,Bills
Airtel Broadband Monthly Fee,Bills
Prepaid Mobile Recharge Jio #9876543210,Bills
Electricity bill payment MSEB Nov 2025,Bills
Housie Rent Payment Oct via NEFT,Bills
Water Supply Bill BMC Payment Ref: 8765,Bills
CREDIT CARD PAYMENT HDFC BANK,Bills
Gail Gas Bill Payment,Bills
Municipal Tax Payment Online,Bills
Natural Gas Bill Payment Adani Gas,Bills
Internet Bill ACT Fibernet Monthly,Bills
LIC Premium Payment - Policy 12345,Bills
Bank Overdraft Interest Charge,Bills
Loan Repayment E-Mandate,Bills
Mobile Recharge BSNL 199 Plan,Bills
DTH Subscription DISH TV,Bills
Electricity Deposit Refund,Bills
School Fee Payment Term 2,Bills
Health Insurance Premium,Bills
Airtel Postpaid Bill,Bills
BSES Yamuna Power Bill,Bills
Water Bill Payment,Bills
Gas Pipeline Bill,Bills
Maintenance Fee Apartment,Bills
Taco Bell,Dining
Nobu,Dining
Morton's,Dining
Taco Bell,Dining
Capital Grille,Dining
Capital Grille,Dining
Wendy's,Dining
TGI Fridays,Dining
TGI Fridays,Dining
Burger King,Dining
Red Lobster,Dining
Morton's,Dining
Burger King,Dining
KFC,Dining
Applebee's,Dining
Morton's,Dining
TGI Fridays,Dining
McDonald's,Dining
Capital Grille,Dining
Olive Garden,Dining
KFC,Dining
Chili's,Dining
Wendy's,Dining
Ruth's Chris,Dining
Taco Bell,Dining
Ruth's Chris,Dining
Nobu,Dining
Nobu,Dining
McDonald's,Dining
Nobu,Dining
Red Lobster,Dining
Olive Garden,Dining
Burger King,Dining
TGI Fridays,Dining
Ruth's Chris,Dining
TGI Fridays,Dining
Olive Garden,Dining
KFC,Dining
Taco Bell,Dining
Burger King,Dining
KFC,Dining
Capital Grille,Dining
#88324 DOMINOS PIZZA,Dining
*ONLINE KFC ONLINE - BLR,Dining
1299.00 INR ZOMATO ORDER PAYMENT,Dining
KFC ONLINE REF,Dining
STARBUCKS COFFEE,Dining
UPI Pmt to Zomato Order #847293 @875389XXX4,Dining
"Payment for bill at ""The Coffee Bean & Tea Leaf"" Store 45",Dining
Debit Card TXN at PIZZA HUT DLF Phase 3 Ref:982374,Dining
Zomato Delivery Fee 10-Oct Ref:ZOM875,Dining
McDonald's POS purchase Txn ID: 782947,Dining
Cafe Coffee Day Vouchers 500.00,Dining
Restaurant Bill Pay Gpay *9872,Dining
Dineout payment at The Yellow Chili ref 98327,Dining
CREDIT CARD TXN - Barbeque Nation PUNE,Dining
Debit POS 12/11/25 SUBWAY STORE 201,Dining
UPI to @paytm.merch.123 for dinner,Dining
Swiggy Food Order: Biryani & Coke,Dining
KFC A la carte order 2-Nov-25,Dining
POS Swipe at local Juice Center,Dining
Debit Card POS: Keventers Milkshake,Dining
UPI ID: @pizzamart for Lunch Order #675,Dining
Starbucks Coffee purchase via Paytm,Dining
Txn 18/11/25 Tandoor Express Ref 34983,Dining
Payment at Aaswad Restaurant Mumbai,Dining
Domino's Pizza order via website 12:30pm,Dining
Starbucks Vouchers,Dining
McCafe Coffee & Snacks,Dining
Restaurant Tip UPI,Dining
Pizza Hut Order,Dining
Steam,Entertainment
StubHub,Entertainment
Netflix,Entertainment
Xbox Live,Entertainment
Disney+,Entertainment
PlayStation Store,Entertainment
Regal Cinemas,Entertainment
Netflix,Entertainment
Epic Games,Entertainment
Nintendo eShop,Entertainment
Netflix,Entertainment
Epic Games,Entertainment
PlayStation Store,Entertainment
- MUMBAI SPOTIFY PREMIUM,Entertainment
BOOKMYSHOW MOVIE @OKICICI,Entertainment
PAYMENT HOTSTAR PLAN,Entertainment
REF  BOOKMYSHOW MOVIE*ORDER #,Entertainment
*ORDER # HOTSTAR PLAN,Entertainment
#88324 GAANA PREMIUM*ORDER #,Entertainment
NETFLIX SUBSCRIPTION,Entertainment
99.00 Rs SPOTIFY PREMIUM,Entertainment
BOOKMYSHOW MOVIE 1299.00 INR,Entertainment
TXN ID  SPOTIFY PREMIUM*ORDER #,Entertainment
#88324 NETFLIX SUBSCRIPTION REF,Entertainment
BOOKMYSHOW MOVIE 99.00 Rs,Entertainment
HOTSTAR PLAN#88324,Entertainment
BOOKMYSHOW MOVIE#88324,Entertainment
UPI  NETFLIX SUBSCRIPTION*ORDER #,Entertainment
NETFLIX SUBSCRIPTION REF,Entertainment
- MUMBAI BOOKMYSHOW MOVIE UPI@YBL,Entertainment
NETFLIX Monthly Subscription Fee Oct 2025,Entertainment
BookMyShow Ticket Booking Ref: BM20250111,Entertainment
PVR Cinemas Food & Beverage payment via GPay,Entertainment
Spotify Premium Subscription Payment,Entertainment
Cinepolis Ticket Purchase via Credit Card,Entertainment
Amazon Prime Video Rental - Movie Title,Entertainment
Hotstar VIP Subscription Renewal,Entertainment
AMC Theaters,Entertainment
PlayStation Store,Entertainment
HBO Max,Entertainment
Epic Games,Entertainment
Netflix,Entertainment
AMC Theaters,Entertainment
Ticketmaster,Entertainment
Nintendo eShop,Entertainment
Hulu,Entertainment
Netflix,Entertainment
Epic Games,Entertainment
Spotify,Entertainment
Apple Music,Entertainment
Disney+,Entertainment
HBO Max,Entertainment
Nintendo eShop,Entertainment
Amazon Prime,Entertainment
AMC Theaters,Entertainment
Steam,Entertainment
StubHub,Entertainment
Ticketmaster Concert Ticket Purchase,Entertainment
Game Purchase PSN Store Ref 1098374,Entertainment
Laser Tag Activity Fee,Entertainment
Bowling Alley Fees via Debit Card,Entertainment
Zee5 Subscription Charge,Entertainment
Inox Multiplex ticket purchase,Entertainment
Hotstar Cricket Match Viewing Fee,Entertainment
Gaming Credit Purchase Steam Wallet,Entertainment
Event Ticket Booking Insider.in,Entertainment
Museum Entry Fee Payment,Entertainment
Netflix Gift Card Redemption,Entertainment
Zoo Ticket Purchase for Family,Entertainment
Movie Snacks Purchase,Entertainment
Stand-up Comedy Show Ticket,Entertainment
PVR Gold Class Ticket,Entertainment
Prime Video Subscription,Entertainment
YouTube Premium Fee,Entertainment
Bookmyshow Movie Ticket,Entertainment
Concert Ticket AXS,Entertainment
INDIANOIL PUMP - BLR,Fuel
RELIANCE FUEL#88324,Fuel
SHELL GAS STATION TXN ID,Fuel
HPCL PETROL PUMP UPI@YBL,Fuel
450.00 HPCL PETROL PUMP UPI,Fuel
#88324 HPCL PETROL PUMP UPI,Fuel
REF  SHELL GAS STATION - BLR,Fuel
INDIANOIL PUMP,Fuel
SHELL GAS STATION,Fuel
@OKICICI  SHELL GAS STATION *ONLINE,Fuel
99.00 Rs SHELL GAS STATION*ORDER #,Fuel
@OKICICI  RELIANCE FUEL*ORDER #,Fuel
Fuel Surcharge Waived IOCL Pump B'lore,Fuel
HPCL Petrol Station payment Rs. 1500.00 Ref 7462,Fuel
Txn at SHELL PETROL PUMP Vashi Mumbai 10:45:00,Fuel
BPCL Refuel UPI,Fuel
IOCL Fuel Additive,Fuel
Shell Fuel Loyalty Pts,Fuel
SHELL GAS STATION,Fuel
UPI@YBL HPCL PETROL PUMP,Fuel
UPI  INDIANOIL PUMP *ONLINE,Fuel
ESSAR PETRO*ORDER #,Fuel
450.00 BPCL FUEL*ORDER #,Fuel
RELIANCE FUEL,Fuel
*ORDER # HPCL PETROL PUMP @OKICICI,Fuel
RELIANCE FUEL#88324,Fuel
- MUMBAI RELIANCE FUEL,Fuel
HPCL PETROL PUMP *ONLINE,Fuel
@OKICICI  HPCL PETROL PUMP UPI,Fuel
BPCL FUEL - MUMBAI,Fuel
450.00 RELIANCE FUEL TXN ID,Fuel
RELIANCE FUEL - MUMBAI,Fuel
SHELL GAS STATION UPI@YBL,Fuel
- BLR HPCL PETROL PUMP,Fuel
REF  RELIANCE FUEL - BLR,Fuel
INDIANOIL PUMP*ORDER #,Fuel
99.00 Rs INDIANOIL PUMP REF,Fuel
UPI  INDIANOIL PUMP 450.00,Fuel
HPCL PETROL PUMP UPI@YBL,Fuel
- MUMBAI BPCL FUEL 99.00 Rs,Fuel
- MUMBAI INDIANOIL PUMP - MUMBAI,Fuel
- MUMBAI SHELL GAS STATION - BLR,Fuel
UPI@YBL BPCL FUEL - MUMBAI,Fuel
#88324 BPCL FUEL 1299.00 INR,Fuel
INDIANOIL PUMP - MUMBAI,Fuel
99.00 Rs ESSAR PETRO - MUMBAI,Fuel
Fuel Surcharge Waived IOCL Pump B'lore,Fuel
HPCL Petrol Station payment Rs. 1500.00 Ref 7462,Fuel
Txn at SHELL PETROL PUMP Vashi Mumbai 10:45:00,Fuel
