transaction,category
TGI Fridays,Dining
LONDON UNDERGROUND,Travel
Loan Repayment E-Mandate,Bills
Domestic Flight Ticket Vistara,Travel
GAANA PREMIUM,Entertainment
BIGBASKET ORDER 1299.00 INR,Groceries
UPI@YBL AIRTEL POSTPAID,Bills
Indigo Airlines Ticket Purchase PNR: FJK34T,Travel
Payment to BigBasket Order BB12987,Groceries
SHELL GAS STATION,Fuel
Myntra E-commerce Order 789012,Shopping
Zomato Delivery Fee 10-Oct Ref:ZOM875,Dining
MobiKwik payment for TATA SKY DTH,Bills
Publix Grocery Store,Groceries
Netflix,Entertainment
Inox Multiplex ticket purchase,Entertainment
Fuel Surcharge Waived IOCL Pump B'lore,Fuel
Txn at SHELL PETROL PUMP Vashi Mumbai 10:45:00,Fuel
STARBUCKS 11/15,Dining
450.00 GAANA PREMIUM,Entertainment
450.00 MAKEMYTRIP BOOKING,Travel
Wendy's,Dining
#88324 NATURES BASKET *ONLINE,Groceries
*ONLINE IRCTC TICKET,Travel
Uber Ride Airport,Travel
*ORDER # ACT BROADBAND,Bills
BookMyShow Ticket Booking Ref: BM20250111,Entertainment
PAYMENT IRCTC TICKET - MUMBAI,Travel
OLA TRIP*ORDER #,Travel
OLA TRIP @OKICICI,Travel
SPOTIFY SUBSCRIPTION 4321,Entertainment
EB Bill Payment - BESCOM A/C 9876543210,Bills
"Payment for bill at ""The Coffee Bean & Tea Leaf"" Store 45",Dining
Uber Ride,Travel
Event Ticket Booking Insider.in,Entertainment
*ORDER # ACT BROADBAND,Bills
Maintenance Fee Apartment,Bills
NATURES BASKET TXN ID,Groceries
Oyo Rooms Booking Delhi Ref OYO345,Travel
ESSAR PETRO*ORDER #,Fuel
- BLR HPCL PETROL PUMP,Fuel
REF  BESCOM ELECTRICITY UPI,Bills
NYKAA PAYMENT,Shopping
- BLR REDBUS PAYMENT TXN ID,Travel
Toll Fee Payment - Delhi-Jaipur Highway,Fuel
UPI  INDIANOIL PUMP *ONLINE,Fuel
Careem,Travel
FLIPKART ORDER PAYMENT,Shopping
BANK MONTHLY MAINTENANCE FEE,Bills
*ORDER # NYKAA PAYMENT - MUMBAI,Shopping
BPCL Fuel Card Topup,Fuel
HPCL PETROL PUMP UPI@YBL,Fuel
Railway Ticket Booking IRCTC PNR: ABCD12,Travel
EMI DEBIT HDFC Loan Acc #L4593845,Bills
Netflix,Entertainment
Online purchase of Detergent & Soap,Groceries
PAYMENT JIO RECHARGE TXN ID,Bills
- MUMBAI BPCL FUEL 99.00 Rs,Fuel
Shoppers Stop Online Order 100983-A,Shopping
AJIO PURCHASE UPI@YBL,Shopping
AppleCare Service Fee,Shopping
Restaurant Bill Pay Gpay *9872,Dining
BOOKMYSHOW MOVIE#88324,Entertainment
STARBUCKS COFFEE,Dining
UPI@YBL AIRTEL POSTPAID,Bills
RELIANCE FUEL - MUMBAI,Fuel
Payment at Aaswad Restaurant Mumbai,Dining
Debit Card POS: Keventers Milkshake,Dining
Starbucks Coffee,Dining
INDIANOIL PUMP*ORDER #,Fuel
Electricity bill payment MSEB Nov 2025,Bills
#88324 GAANA PREMIUM*ORDER #,Entertainment
#88324 BIGBASKET ORDER 450.00,Groceries
Mumbai Local Train Pass Renewal,Travel
Internet Bill ACT Fibernet Monthly,Bills
American Airlines,Travel
Epic Games,Entertainment
Music Festival Ticket,Entertainment
Hotel Stay Booking via MakeMyTrip ID MMT-984321,Travel
MAKEMYTRIP BOOKING,Travel
APPLE.COM/BILL 9876,Entertainment
- MUMBAI SHELL GAS STATION - BLR,Fuel
FRESHTOHOME UPI@YBL,Groceries
- MUMBAI CROMA STORE,Shopping
Starbucks Coffee purchase via Paytm,Dining
Olive Garden,Dining
RELIANCE FUEL,Fuel
Payment at Aaswad Restaurant Mumbai,Dining
- BLR BIGBASKET ORDER,Groceries
AMAZON EU SARL 2023,Shopping
H&M Online Clothes Shopping,Shopping
Ruth's Chris,Dining
Disney+,Entertainment
KFC ONLINE REF,Dining
Ticketmaster Concert Ticket Purchase,Entertainment
Subscription Box Fee - Organic Veggies,Groceries
McDonald's POS purchase Txn ID: 782947,Dining
ACT BROADBAND,Bills
OLA TRIP 450.00,Travel
BESCOM ELECTRICITY - BLR,Bills
Meat Purchase from Butcher Shop,Groceries
SPOTIFY NOV 2023,Entertainment
Steam,Entertainment
Ruth's Chris,Dining
DMART PAYMENT REF,Groceries
Chili's,Dining
Txn 18/11/25 Tandoor Express Ref 34983,Dining
PRET A MANGER,Dining
OLA TRIP*ORDER #,Travel
